step	epoch
49	0
99	0
149	0
199	0
249	0
299	0
349	0
399	0
449	0
499	0
549	0
599	0
649	0
699	0
703	0
749	1
799	1
849	1
899	1
949	1
999	1
1049	1
1099	1
1149	1
1199	1
1249	1
1299	1
1349	1
1399	1
1407	1
1449	2
1499	2
1549	2
1599	2
1649	2
1699	2
1749	2
1799	2
1849	2
1899	2
1949	2
1999	2
2049	2
2099	2
2111	2
2149	3
2199	3
2249	3
2299	3
2349	3
2399	3
2449	3
2499	3
2549	3
2599	3
2649	3
2699	3
2749	3
2799	3
2815	3
2849	4
2899	4
2949	4
2999	4
3049	4
3099	4
3149	4
3199	4
3249	4
3299	4
3349	4
3399	4
3449	4
3499	4
3519	4
